d10/2,d100,CYPHER,DESCRIPTION,LEVEL,FORM,,,,,,,
3,58,Breather symbiote,"Activating the symbiote causes the device to forcefully inject a long tendril down the user’s throat until it reaches his lungs, where it lodges in the fleshy material. The symbiote provides him with breathable air for one hour, letting him breathe in the absence of air. However, while the symbiote is activated, the user can’t speak. If the symbiote is removed, the user takes 4 points of damage.",1d6+2,Gelatinous mask pressed onto the face,,,,,,,
3,59,Catholicon,Cures any disease of the cypher level or lower.,1d6+2,Pill,Ingestible liquid,Injector,,,,,
3,60,Catseye,Grants the ability to see in the dark for five hours per cypher level.,1d6+2,Pill,Ingestible liquid,Injector,,,,,
3,61,Cloaking pin,"When activated, this creates a cloaking field that effectively makes the user invisible and completely silent for one minute. While invisible, the user is specialized in stealth and Speed defense tasks. This effect ends if he does something to reveal his presence or position – attacking, performing an esotery, using an ability, moving a large object, and so on. If this occurs, he can regain the remaining invisibility effect by taking an action to focus on hiding his position.",1d6+2,Metal disc made into a lapel pin,,,,,,,
3,62,Cloudskimmer,"The lid of the box opens, and ten small bags rise from within and spend the next five minutes filling with a lighter-than-air gas. As they inflate, they rise above the box, revealing an empty compartment. A sturdy cord tethers each balloon to the box. When the balloons finish inflating, they lift the box and anything in it into the air at a rate of 30 m per minute until it reaches a maximum altitude of 305 m. The device remains airborne for seven hours. After this time, it loses 30 m of altitude every ten minutes until it lands. The device moves in whatever direction the winds are blowing.",1d6+2,A lightweight box large enough to hold four human-sized creatures,,,,,,,
3,63,Colorless grease,"There’s enough grease in the container to cover a human-sized creature or an object that can fit inside a 2 m cube. Rubbing the grease onto the target causes it to reflect no color and become invisible for as long as the grease remains. The grease wears off after 1d6 hours. Heat can cause the grease to melt and run, revealing the concealed target early.",1d6+2,"Metal container filled with thin, colorless grease",,,,,,,
3,64,Complex fluid wall projector,"Creates a wall of complex fluid up to 9 m by 9 m by 0.3 m. It inflicts damage equal to the cypher level on any out-of-phase creature that passes through it. Breaking through or puncturing the wall is a task equal to the cypher level.
The wall conforms to the space available. It lasts for one hour.",1d6+2,Handheld device,,,,,,,
3,65,Conflict advisor,"The device allows the user to access the datasphere to analyze opponents and anticipate their actions. For one hour, the user has an asset on all attack rolls and Speed defense rolls.",1d6+2,Pill,Ingestible liquid,Temporary tattoo,Amulet,Headband,Crystal worn on temple,,
3,66,Controlled blinking nodule,"For the next 28 hours, each time the wearer of the armor the nodule is attached to is struck hard enough to inflict damage (but no more than once per round), they teleport to a spot they desire within immediate range. Since the wearer is prepared for this effect and their foe is not, the wearer’s defenses are eased for one round after they teleport (eased by two steps if the cypher is level 6 or higher).",1d6+2,Crystal nodule affixed to armor,,,,,,,
3,67,Countermeasure (magnetic),"This device creates an invisible field that fills an area within short range and lasts for one minute. The field scrambles magnetic fields, making any device or power involving magnetism unusable. The effect lasts as long as the device or power remains within the field.",1d6+2,Handheld device,,,,,,,
3,68,Countermeasure (membrane),"This device creates an invisible field around up to three living creatures that lasts for one minute. The field scrambles all effects of incoming technological devices, ricocheting the effect back toward the initiator. It has no effects on technological devices used inside the field.",1d6+2,Handheld device,,,,,,,
3,69,Countermeasure (technological),"Two rounds after being activated, the device creates an invisible field that fills an area within short range and lasts for one minute. The field scrambles the electronic processes of most technological devices and makes them inoperable. Intelligent devices cannot take actions during this time. The effect lasts as long as the devices remain within the field.",1d6+2,Handheld device,,,,,,,
3,70,Cyberflesh,A character covered in cyberflesh has many advantages. The metallic coating offers +1 to Armor. The character also can use an action to touch any numenera device and automatically learn its function and how to use it (if possible). Cyberflesh lasts for ten minutes.,1d6+2,Pill,Injection,Spray-on mist,,,,,
3,71,Data flood,"Activating the cypher enables the user to connect her mind to the datasphere for one hour. Until the connection is broken, the difficulty is reduced by one step for her Intellect defense rolls and Intellect tasks to identify objects, creatures, and places.",1d6+2,Dermal patch,,,,,,,
3,72,Data vault,"The device scans one object (chosen by the user) that can fit inside a 3 m cube and is within a short distance. The object then dissolves, its substance drawn into the device. Activating the device again causes it to create an identical copy of the object using solidified light at an open spot within a short distance.",1d6+2,Hourglass-shaped synth device with a ring around the center,,,,,,,
3,73,Deadly mist,"This cypher sprays a mist of exotic fluid at one or more targets within immediate range (potentially all targets in range, if the user desires). The mist condenses on the targets and gathers into a thick liquid that begins to form hard, razor-sharp edges, needles, spikes, and barbs that inflict damage equal to the cypher level. Affected targets suffer half the damage on the next round as well before the fluid turns back into mist and evaporates.",1d6+2,Wrist-mounted sprayer,Canister with a short hose,,,,,,
3,74,Death messenger,"To activate the device, the user places a bit of skin, hair, nail, or some other material from a living creature inside a compartment positioned between the wings. The wings begin to flap, causing the device to lift into the air and fly off toward the creature whose materials were used to activate it. The device uses the datasphere to locate the creature and speeds off toward it by the shortest and fastest available route. The device flies about 48 kph and maneuvers around obstacles. If blocked by a solid object, it goes out of phase, along with the cypher it carries, and moves through the object until it emerges into an open space. The device activates its detonation cypher when it reaches the target or after 28 hours, whichever comes first.",1d6+2,A pair of metal or organic wings on a frame that can be attached to any detonation cypher,,,,,,,
3,75,Detonation,"Explodes in an immediate radius, inflicting damage equal to the cypher level. Roll for the type of damage:
01–10 Cell-disrupting (harms only flesh)
11–30 Corrosive
31–40 Electrical discharge
41–50 Heat drain (cold)
51–75 Fire
76–00 Shrapnel",1d6+2,Wristband projector (long range),"Explosive device (thrown, short range)","Ceramic sphere (thrown, short range)",Handheld projector (long range),,,,
3,76,Detonation (dessicating),"Bursts in an immediate radius, draining moisture from everything within it. Living creatures take damage equal to the cypher level. Water in the area is vaporized.",1d6+2,Wristband projector (long range),"Explosive device (thrown, short range)","Ceramic sphere (thrown, short range)",Handheld projector (long range),,,,
3,77,Detonation (flash),"Bursts in an immediate radius, blinding all within it for one minute (ten minutes if the cypher is level 4 or higher).",1d6+2,Wristband projector (long range),"Explosive device (thrown, short range)","Ceramic sphere (thrown, short range)",Handheld projector (long range),,,,
3,78,Detonation (foam),"Explodes with foam in an immediate area. The foam inflicts no damage but hardens immediately, filling the area with resilient, spongy matter. Those trapped in the foam can break free only by using their Might or perhaps a cutting tool (which would take at least a minute). The foam disintegrates after one hour.",1d6+2,"Explosive device (thrown, short range)","Ceramic sphere (thrown, short range)",Handheld projector (long range),,,,,
3,79,Detonation (gravity),"Bursts in an immediate radius, inflicting damage equal to the cypher level by increasing gravity tremendously for one second. All in the area are crushed to the ground for one round and cannot take physical actions.",1d6+2,Wristband projector (long range),"Explosive device (thrown, short range)","Ceramic sphere (thrown, short range)",Handheld projector (long range),,,,
3,80,Detonation (massive),"Explodes in a short-range radius, inflicting damage equal to the cypher level. Roll for the type of damage:
01–10 Cell-disrupting (harms only flesh)
11–30 Corrosive
31–40 Electrical discharge
41–50 Heat drain (cold)
51–75 Fire
76–00 Shrapnel",1d6+2,Wristband projector (very long range),Handheld projector (very long range),,,,,,
3,81,Detonation (plant transformation),"Explodes in an immediate radius with a grey mist. Living creatures affected in the area begin to transform into plants. Player characters exposed to the mist must attempt three Might defense rolls (any Effort used on one roll is applied to all three). The final result depends on the result of the rolls:
No successes: Over the course of ten minutes, the character’s flesh turns green and begins to sprout shoots. He permanently turns into a human-shaped plant.
One success: Over the course of ten minutes, the character’s flesh turns green and begins to sprout shoots. Her body stiffens and she cannot move for 28 hours as she takes root. At the end of that time, she becomes a humanshaped plant. However, if someone keeps her from taking root, she returns to normal over the course of another 28 hours, during which time she can take no actions.
Two successes: Over the course of ten minutes, the character’s flesh turns green and begins to sprout shoots. This is a painful process. At the ten-minute mark, he moves one step down the damage track, and he remains that way until he returns to normal 28 hours later.
Three successes: The character is not affected at all. NPCs in the area who are one level lower than the cypher are affected as if they had two successes. NPCs who are two or three levels lower are affected as if they had one success. NPCs who are four or more levels lower than the cypher are affected as if they had no successes.
All plants in the area gain a permanent +1 level boost.",1d6+2,"Explosive device (thrown, short range)","Ceramic sphere (thrown, short range)",Handheld projector (long range),,,,,
3,82,Detonation (pressure),"Explodes in an immediate radius, inflicting impact damage equal to the cypher level. Also moves unattended objects out of the area if they weigh less than 9 kg per cypher level.",1d6+2,Wristband projector (long range),"Explosive device (thrown, short range)","Ceramic sphere (thrown, short range)",Handheld projector (long range),,,,
3,83,Detonation (smoke),"Bursts in a short radius, filling the area with thick smoke that lasts for one minute. A strong wind disperses it immediately. Treat the smoke as darkness, and the difficulty of melee attacks in the area is modified by one step in the defender’s favor.",1d6+2,Wristband projector (long range),"Explosive device (thrown, short range)","Ceramic sphere (thrown, short range)",Handheld projector (long range),,,,
3,84,Detonation (sonic),"Explodes with terrifying sound, deafening all in an immediate radius for ten minutes per cypher level.",1d6+2,Wristband projector (long range),"Explosive device (thrown, short range)","Ceramic sphere (thrown, short range)",Handheld projector (long range),,,,
3,85,Detonation (spawn),"Bursts in an immediate radius, blinding all within it for one minute and inflicting damage equal to the cypher level. The burst spawns 1d6 additional detonations; on the next round, each additional detonation flies to a random spot within short range and explodes in an immediate radius. Roll for the type of damage dealt by all detonations:
01–10 Cell-disrupting (harms only flesh)
11–30 Corrosive
31–40 Electrical discharge
41–50 Heat drain (cold)
51–75 Fire
76–00 Shrapnel",1d6+2,Wristband projector (long range),"Explosive device (thrown, short range)","Ceramic sphere (thrown, short range)",Handheld projector (long range),,,,
3,86,Detonation (suggestion),"Explodes in a patterned flash of multicolored lights and gas in an immediate radius. For all sentient creatures in the area, the difficulty of Intellect defense rolls to resist reasonably worded suggestions is increased by a number of steps equal to half the cypher level (round down). The effect lasts for a number of rounds equal to the cypher level.",1d6+2,"Explosive device (thrown, short range)","Ceramic sphere (thrown, short range)",Handheld projector (long range),,,,,
3,87,Detonation (tendril),"Bursts into a swirling mass of dozens of animate tendrils that emerge from the point of explosion. The tendrils attack every creature and unattended object within immediate range. If successful, they hold their victim fast for up to six rounds unless the victim can break free (small or fragile objects are simply crushed and destroyed).",1d6+2,"Explosive device (thrown, short range)","Ceramic sphere (thrown, short range)",Handheld projector (long range),,,,,
3,88,Detonation (web),"Explodes in an immediate radius and creates sticky strands of goo that last 1 hour. PCs caught in the area must use a Might-based action to get out, with the difficulty determined by the cypher level. NPCs break free if their level is higher than the cypher level.",1d6+2,Wristband projector (long range),"Explosive device (thrown, short range)","Ceramic sphere (thrown, short range)",Handheld projector (long range),,,,
3,89,Distortion field emitter,Activation creates an invisible field that extends out from the device to short range for the next hour. Numenera devices do not function while in the field.,1d6+2,Subdermal injection,Helmet,Headband,Metallic choker,Complex device,,,
3,90,Ear worm,"The cypher activates when placed on someone’s face. The worm crawls up the side of the user’s face and enters his ear canal (or the closest thing to an ear canal the user has). It then embeds the bristles coating its body into the canal. For the next 28 hours, the user can understand any language he hears and has an asset for any task that involves listening. When the effect ends, a fleshy moth flies out of his ear.",1d6+2,A wint worm covered in sharp hairs,,,,,,,
3,91,Electronic nose,"This device enhances the wearer’s sense of smell, allowing him to detect odor signatures of various biological, biochemical, or chemical compounds for one hour. Those with knowledge of the numenera can attempt to “set” the nose to a desired substance just prior to using it (difficulty equal to the cypher level), or the GM can roll ahead of time:
01–10 Explosives or detonations
11–30 Disease
31–40 Blood
41–50 Poison
51–75 Chemical traps
76–00 User’s choice",1d6+2,Small nodule affixed to a nose,Synth nose that attaches over a real one,Clip-on,Nose ring,,,,
3,92,Emoacoustic weapon,"This device allows the user to change the emotion of a single target in short range with a sonic burst that only the target will hear  The user can choose one of these emotions or states: anger, despair, fear, joy, calm, great hunger, and sexual arousal. This artificial state lasts for ten minutes (or as the situation afterward dictates).",1d6+2,Mask,Handheld device,,,,,,
3,93,Energy module,"This cypher must be attached to another cypher or artifact (a level 4 task) that produces energy, such as a ray emitter or a force shield projector. Once attached, it no longer counts against a character’s cypher limit. The level of the device it is attached to is increased by 2.
The module cannot be removed from the device without destroying both the module and the device.",1d6+2,Small metal and synth plate,,,,,,,
3,94,Essence transfer,"Allows one willing character to transfer points from his Pools to another character’s Pools. The transferring character can’t reduce a Pool below 1, and the receiving character can’t raise a Pool above its normal maximum.",1d6+2,Handheld device,,,,,,,
3,95,Explosive nodule,"For the next 28 hours, each time the weapon the nodule is attached to strikes a solid creature or object, it releases a pulse of concussive force that throws the target a short distance away from the user. This force knocks the target and the user to the ground.",1d6+2,Crystal nodule affixed to a melee weapon,,,,,,,
3,96,Eyebug,"Once activated, this device moves on its own for one hour, following a single, simple verbal command with surprising intelligence. For example, if directed to find a way into the chamber to the south, it will search around, attempting to find the most direct path (if one exists), even one that is not known to the user. If told to find the nearest ithsyn, it will search around on its own until it finds the target (or until its hour is up). The device cannot be given multiple objectives, nor can it be given multistep directions. Most important, during the entire time, the user can see everything it can see through the eyepiece. The eyebug can see in the dark as easily as in the light.",1d6+2,Small mechanical insect and a small eyepiece lens,,,,,,,
3,97,Firebreather,"The wearer breathes fire onto a foe in immediate range, doing damage equal to the cypher level. Inserting the device is an action. However, breathing fire is an Enabler and can be used in addition to a melee attack or movement.",1d6+2,Mouth guard,Mouth sprayer,Long tube,,,,,
3,98,Flame hand,"Although this cypher is a glove, the wearer cannot use his hand while wearing it – a heavy metal device with a long tube on the end fits over the glove, encompassing his entire hand. When activated, this device sprays a stream of flaming liquid up to short range that inflicts damage equal to the cypher level. The wearer can spray this stream around to affect multiple targets and hit as many as are next to each other in range. (If he need not worry about hitting friendly targets, he could potentially attack all foes within range.)",1d6+2,Glove with a large metal device fitted over it,,,,,,,
3,99,Flying cap,"Three metal poles extend out from the top of the device, which clamps onto the user’s head and cannot be removed for the duration. Two poles fold down on either side of the user’s head, while the third rises straight up and sprouts four blades that begin spinning. The blades function as a propeller and lift the user into the air. She can control the direction of the movement by using the poles to either side. The device allows her to fly by making a Speed roll (level 2) each round. She can fly a short distance each round in combat or about 2 km each minute. The device operates for 3d20 minutes before breaking up and deactivating. If the user is still in the air when it stops working, she falls.",1d6+2,Hat,Helmet,,,,,,
3,100,Frigid wall projector,Creates a wall of supercooled air up to 9 m by 9 m by 30 cm that inflicts damage equal to the cypher level on anything that passes through it. The wall conforms to the space available. It lasts for ten minutes.,1d6+2,Complex device,,,,,,,
4,1,Fungal garden,"When a user pours out the contents of the vial, the dust sinks into any earthen or sandy surface it touches. One hour later, a field of mushrooms grows from the ground in a long radius centered on the spot where the dust fell. The mushrooms grow until they reach about 3 m tall on average. Each mushroom has a wide, colorful cap that spreads out in a 2 m radius.
Touching a mushroom causes spores to fall from the cap onto anything below. Each time this happens, roll a d6 to see what the spores do to all creatures they touch.
Roll a d6 for effect:
1–2 Bliss. The target experiences profound feelings of joy and happiness for one day.
3–4 Sadness. The target experiences profound feelings of sadness for one day.
5–6 Hallucinations. The target experiences visual and auditory hallucinations for one day. The hallucinations increase the difficulty of any task that involves seeing or hearing by one step.",1d6+2,Vial filled with multicolored dust,,,,,,,
4,2,Gas bomb,"Bursts in a poisonous cloud within an immediate distance. The cloud lingers for 1d6 rounds unless conditions dictate otherwise. Effects vary:
01–10 Thick smoke: occludes sight while the cloud lasts.
11–20 Choking gas: living creatures that breathe lose their actions to choking and coughing for a number of rounds equal to the cypher level.
21–50 Poison gas: living creatures that breathe suffer damage equal to the cypher level.
51–60 Corrosive gas: everything suffers damage equal to the cypher level.
61–65 Hallucinogenic gas: living creatures that breathe lose their actions to hallucinations and visions for a number of rounds equal to the cypher level.
66–70 Nerve gas: living creatures that breathe suffer Speed damage equal to the cypher level.
71–80 Mind-numbing gas: living creatures that breathe suffer Intellect damage equal to the cypher level.
81–83 Fear gas: living creatures that breathe and think flee in a random direction in fear (or are paralyzed with fear) for a number of rounds equal to the cypher level.
84–86 Amnesia gas: living creatures that breathe and think permanently lose all memory of the last minute.
87–96 Sleep gas: living creatures that breathe fall asleep for a number of rounds equal to the cypher level or until awoken by a violent action or an extremely loud noise.
97–00 Rage gas: living creatures that breathe and think make a melee attack on the nearest creature and continue to do so for a number of rounds equal to the cypher level.",1d6+2,Wristband projector (long range),"Explosive device (thrown, short range)","Ceramic sphere (thrown, short range)",Handheld projector (long range),,,,
4,3,Gel suit,"To activate the device, the user must place his hand or foot into the container. The gel flows over his appendage and spreads across his body until it completely encases him. The gel retains its semiliquid consistency for 28 hours.
While the gel covers the user, it prevents him from taking damage from acid, cold, electricity, or fire. In addition, whenever he takes damage from being struck by an object, he temporarily gains +1 to Armor until the next round ends as the gel briefly hardens in response to the hit.",1d6+2,A large container filled with gel,,,,,,,
4,4,Grasshopper,"When thrown, the grasshopper bounces 1d6 times about 2 m apart, setting off an explosion of shrapnel in each place it lands. Each explosion deals damage equal to the cypher level to all creatures in the immediate area of the bounce.",1d6+2,Wrist projector,Shoulder launcher (long range),"Firm synth ball (thrown, short range)",,,,,
4,5,Gravity-nullifying spray,"A nonliving object up to the size of a human (two humans if the cypher is level 6 or higher) sprayed by this cypher floats 1d20 feet in the air permanently and no longer has weight if carried, though it needs to be strapped down.",1d6+2,Spray canister,,,,,,,
4,6,Grow ray,"An inanimate object in short range grows twenty times its normal size and remains that way for 28 hours. The object’s mass increases as well, but not at the same rate – only enough to keep it from collapsing in on itself.",1d6+2,Projector ray,,,,,,,
4,7,Growth harness,"This device draws mass to the user from another dimension, allowing her to grow 50 percent larger for one hour. During this time, she gains 12 points to her Might Pool and deals 2 additional points of damage with all melee attacks.",1d6+2,Harness fit around the torso,,,,,,,
4,8,Gyre loop,"Generates a strong wind that blows in a path 2 m wide and 152 m long. The wind blows for one hour. The wind is strong enough to scatter papers and loose, lightweight objects, cause flames to gutter out, and drive back tiny creatures. The wind can also fill a sail to propel a wind-powered vehicle. The user can change the direction of the wind by simply moving the device so it faces a different way.",1d6+2,Complex device,Handheld device,,,,,,
4,9,Harassing companion,"When activated, this cube becomes a small flying automaton that harasses a target for one minute. It flies at the target, getting in the way of his eyes, his movements, and so on. The difficulty of the target’s actions is increased by one step. At any time, the user can take an action to command the automaton to bother a different target within short range.",1d6+2,Metal cube,,,,,,,
4,10,Homunculus,"Causes a small blister to appear somewhere on the user’s body 1d6 days after activation. Every day thereafter for six days, the blister grows. After six days, the blister becomes so large that the difficulty of all the user’s rolls increases by one step. On day twelve, the blister reaches its ultimate size: a massive, fluid-filled sac that leaves the user incapacitated for a full 28 hours. When the last hour ends, the blister splits open and leaks a yellow slick of phlegmy substance. In the midst of the mess is a level 1 creature about 46 cm tall. The creature can talk in any language the user knows and accompanies him wherever he goes, following his instructions. It vaguely resembles the user but is ugly and misshapen. It knows everything the user knows, and when it helps him perform a task other than attack or defend, the difficulty of the task is decreased by one step.",1d6+2,Pill,Ingestible liquid,Injector,,,,,
4,11,Hover module,"This cypher must be attached to another cypher or artifact (a level 4 task). Once attached, it no longer counts against a character’s cypher limit. The cypher or artifact it is attached to can be placed in the air and will remain there until someone grabs it and deactivates the hover property.
The module cannot be removed from the device without destroying both the module and the device.",1d6+2,Small metal and synth plate,,,,,,,
4,12,Inferno wall projector,Creates a wall of extreme heat up to 9 m by 9 m by 30 cm that inflicts damage equal to the cypher level on anything that passes through it. The wall conforms to the space available. It lasts for ten minutes.,1d6+2,Complex device,,,,,,,
4,13,Inflatable companion,"Small device self-inflates into a companion that is roughly 1 m tall. It is a creature of a level equal to the cypher level and can understand verbal commands of the character who activates it. Once the companion has been activated, commanding it is not an action. It can make attacks or perform actions as ordered to the best of its abilities, but it cannot speak.
The companion has short-range movement but never goes farther than long range away from the character who activated it. The companion is not artificially intelligent or capable of initiating action other than performing its purpose, as designated by its form.
The GM should roll d100 ahead of time to decide what form the companion takes.
01–50 Attack creature: Takes the form of an aggressive creature in the Ninth World that does damage equal to the cypher level. The creature lasts for ten minutes.
51–75 Protective automaton: Takes the form of a sentient defense system (such as a floating shield) that absorbs 1 point of damage that would normally be taken by the user each round. The system lasts for one hour.
76–00 Distracting humanoid: Takes the form of a humanoid figure that attempts to create a distraction. This causes the foe to become dazed, increasing the difficulty of all its tasks by one step. The humanoid lasts for three rounds.",1d6+2,Self-inflating companion,,,,,,,
4,14,Instant weapon,"When activated by a simple voice command, the device instantly emits a temporary light beam. For one round, the beam does damage equal to the cypher level to a foe in close range. The weapon must be activated and used as a single combined action.",1d6+2,Ring,Earring,Hair pin,Wristband,Lapel pin,Spray canister,,
4,15,Intellect enhancement,Substance adds 1 to Intellect Edge for one hour (or adds 2 if the cypher is level 5 or higher).,1d6+2,Pill,Ingestible liquid,Adhesive patch,Injector,,,,
4,16,Interaction advisor,"The device allows the user to access the datasphere to analyze other sentient creatures and anticipate their needs, motives, emotions, and so on. Wording, gestures, and even body language suggestions are offered. For one hour, the user has an asset for all interaction tasks.",1d6+2,Pill,Ingestible liquid,Temporary tattoo,Amulet,,,,
4,17,Jolter,"When activated, this cypher generates a bolt of wild electricity that extends to short range before arcing into the ground or a target on the ground chosen by the user. The bolt inflicts damage equal to the cypher level, but the jolter is difficult to aim or control. The difficulty for any attack with the device is increased by one step, and a roll of 1 or 2 on the die suggests that a different target (if any) was struck. The jolter emits the bolt for four rounds, each round inflicting the same damage, but using it each round is an action and requires a new roll. There is no way to turn the jolter off once activated, so activating it is a four-round commitment. A user that does not control a jolter in a round will be struck by the bolt of electricity herself.",1d6+2,Harness with wires connecting to a metal rod that can be held or affixed to the forearm,,,,,,,
4,18,Life sensor,"Reveals the exact locations of every living creature within long range. At the end of each minute of operation, the user rolls a d6. On a 1, the device deactivates.",1d6+2,Spectacle,Goggles,Helmet with visor,Handheld device,,,,
4,19,Light shield,"Emits a field around the wearer for five minutes. While the wearer is in an area of light or dim light, he has additional Armor equal to the cypher level.",1d6+2,Wristband device,Handheld device,,,,,,
4,20,Lightning lance,Shoots a jagged bolt of lightning at one target within range that inflicts electrical damage equal to half the cypher level. The lightning then leaps to strike a different target within a short distance of the first target and inflicts the same damage.,1d6+2,Handheld projector (long range),,,,,,,
4,21,Lightning wall projector,Creates a wall of electric bolts up to 9 m by 9 m by 30 cm that inflicts damage equal to the cypher level on anything that passes through it. The wall conforms to the space available. It lasts for ten minutes.,1d6+2,Complex device,,,,,,,
4,22,Lutin (bioengineered insects),"Bursts in a cloud of small engineered insects within short distance. The cloud lingers for 1d6 rounds unless conditions indicate otherwise. Roll to determine the effect:
01–50 Eaten alive. Living creatures with exposed skin suffer damage equal to the cypher level from bites and stings.
51–75 Choking. Living creatures that breathe lose their actions to choking and coughing for a number of rounds equal to the cypher level.
76–00 Blindness. In the second round after the explosion, living sighted creatures are blinded by tiny webs spun across their eyes for a number of rounds equal to the cypher level.",1d6+2,Wristband projector (long range),Handheld projector (long range),Thrown (short range),,,,,
4,23,Lutin (engineered spaces),"Bursts in a cloud of bioengineered spores within short distance. The cloud lingers for 1d6 rounds unless conditions indicate otherwise. Roll to determine the effect:
01–50 Amnesia. Living creatures that breathe and think permanently lose all memory of the last minute.
51–75 Choking. Living creatures that breathe lose their actions to choking and coughing for a number of rounds equal to the cypher level.
76–00 Hallucinogenic. Living creatures that breathe lose their actions to hallucinations and visions for a number of rounds equal to the cypher level.",1d6+2,Wristband projector (long range),Handheld projector (long range),Thrown (short range),,,,,
4,24,Lutin (light drops),"Bursts in a cloud of contained light drops within short distance. The cloud lingers for 1d6 rounds unless conditions indicate otherwise. Roll to determine the effect:
01–50 Blindness. Living sighted creatures are blinded by the refractions of light for a number of rounds equal to the cypher level.
51–75 Sleep. Living sighted creatures are soothed by the warm glow of the light and fall asleep for a number of rounds equal to the cypher level or until woken by a violent action or an extremely loud noise.
76–00 Dazzle. Living sighted creatures are distracted by the dazzling array of lights and colors, and they become dazed for a number of rounds equal to the cypher level. During this time, the difficulty of all tasks they perform is modified by one step to their detriment.",1d6+2,Wristband projector (long range),Handheld projector (long range),Thrown (short range),,,,,
4,25,Lutin (metal shrapnel),"Bursts in a cloud of metal shrapnel within short distance. Roll to determine the effect:
01–50 Sharp. Living creatures with exposed skin suffer damage equal to the cypher level from the sharp edges of the shrapnel.
51–75 Corrosive. Living creatures with exposed skin suffer damage equal to the cypher level from corrosive-laden shrapnel.
76–00 Electrical. The shrapnel contains small amounts of electric charge. Living creatures with exposed skin suffer electrical damage equal to the cypher level.",1d6+2,Wristband projector (long range),Handheld projector (long range),Thrown (short range),,,,,
4,26,Lutin (nanites),"Bursts in a cloud of nanites within short distance. The cloud lingers for 1d6 rounds unless conditions indicate otherwise. Roll to determine the effect:
01–50 Absorb. Nanites absorb all physical damage dealt by creatures within the explosive range for one round. This has no effect on Intellect damage.
51–75 Power up. Nanites enhance all numenera devices within range, adding 1d6 to their damage (or level) if used in the next two rounds.
76–00 Brain buster. Nanites do Intellect damage equal to the cypher level to all thinking creatures in range, ignoring Armor.",1d6+2,Wristband projector (long range),Handheld projector (long range),Thrown (short range),,,,,
4,27,Machine control implant,"When activated, the cypher splits into two pieces. One is affixed to a numenera device and the other to a character. The character can then use their mind to control the device at long range, bidding it to do anything it could do normally. Thus, a device could be activated or deactivated, and a vehicle could be piloted. The control lasts for ten minutes per cypher level, and once the device is chosen, it cannot be changed.",1d6+2,Pill,Disc on forehead,Temporary tattoo,Injector,,,,
4,28,Magnetic attack drill,"The user throws this cypher at a target within short range, and it drills into the target for one round, inflicting damage equal to the cypher level. If the target is made of metal or wearing metal (such as armor), the attack is eased.",1d6+2,Small sphere,,,,,,,
4,29,Magnetic master,"Establishes a connection with one metal object within short range that a human could hold in one hand. After this connection is established, the user can move or manipulate the object anywhere within short range (each movement or manipulation is an action). For example, the user could wield a weapon or drag a helm affixed to a foe’s head to and fro. The connection lasts for ten rounds per cypher level.",1d6+2,Gloves with metal plates,Small pyramid-shaped metallic device,,,,,,
4,30,Magnetic shield,"For ten minutes per cypher level, metal objects cannot come within immediate range of the activated device. Metal items already in the area when the device is activated are slowly pushed out.",1d6+2,Gloves with metal plates,Small pyramid-shaped metallic device,,,,,,
4,31,Matter converter,"Converts material that can fit inside a 5-foot (2 m) cube into different material of the user’s choice. If this is an internal cypher, the user must consume the material and then excrete or surgically remove the new material in whatever manner the GM deems appropriate.",1d6+2,Pill,Complex device,,,,,,
4,32,Memory gel,"Pouring out the tube’s contents activates the device. The gel spreads over any object within immediate range that can fit inside a 3 m cube. Once the gel covers the object, it stays put for one minute, and then it withdraws and forms into a tiny, hard ball. At any time thereafter, a character can throw the ball a short distance. If it strikes a hard surface, the ball expands and takes the shape of the thing it covered. The material is as hard as metal and lasts until destroyed.",1d6+2,Gel contained in metal or plastic tube with a screw cap,,,,,,,
4,33,Mental scrambler,"Two rounds after being activated, the device creates an invisible field that fills an area within short range and lasts for one minute. The field scrambles the mental processes of all thinking creatures. The effect lasts as long as they remain in the field and for 1d6 rounds after, although an Intellect defense roll is allowed each round to act normally (both in the field and after leaving it). Each mental scrambler is keyed to a specific effect. Roll for effect:
01–30 Victims cannot act.
31–40 Victims cannot speak.
41–50 Victims move slowly (immediate range) and clumsily.
51–60 Victims cannot see or hear.
61–70 Victims lose all sense of direction, depth, and proportion.
71–80 Victims do not recognize anyone they know.
81–88 Victims suffer partial amnesia.
89–94 Victims suffer total amnesia.
95–98 Victims lose all inhibitions, revealing secrets and performing surprising actions.
99–00 Victims’ ethics are inverted.",1d6+2,Complex device,,,,,,,
4,34,Metal death,"Produces a stream of foam that covers an area about 1 m by 1 m, transforming any metal that it touches into a substance as brittle as thin glass. The foam affects metal to a depth of about 15 cm.",1d6+2,Wrist-mounted sprayer,Canister with hose,,,,,,
4,35,Mind module,"This cypher must be attached to another cypher or artifact (a level 6 task). Once attached, it no longer counts against a character’s cypher limit. The cypher or artifact it is attached to is now possessed of its own telepathic machine intelligence and can function on its own, obeying verbal or telepathic commands. For example, a detonation can be told to explode whenever someone in a particular uniform comes near. A windrider can be commanded to fly to a location on its own. The module cannot be removed from the device without destroying both the module and the device.",1d6+2,Small metal and synth plate,,,,,,,
