d6/2,d100,ARTIFACT,DESCRIPTION,LEVEL,DEPLETION,FORM,
2,89,Transdimensional Ray Projector,"This long-range weapon fires a beam of energy that exists on many levels of reality at once. It inflicts damage equal to its level, and it harms creatures (such as an abykos) that can be affected only by transdimensional effects.
This device is a rapid-fire weapon and thus can be used with the Spray or Arc Spray abilities that some glaives and jacks have, but each “round of ammo” used or each additional target selected requires an additional depletion roll.",1d6+2,1 in 1d20,A handheld device with a number of controls and a wide dish at one end.,
2,90,Agony Scarab,"To activate the device, a user must place the beetle on the bare skin of a living creature. The beetle immediately burrows into the flesh, inflicting 1 point of damage, and travels just under the skin until it lodges at the base of the creature’s spine. Once there, the beetle drills into the creature’s spine to control its nervous system. At the user’s spoken command, the beetle sends horrific pain shooting through the target’s body, and the target becomes stunned and loses his next action. The beetle then releases its hold on the target and tears free, inflicting 1 point of damage as it emerges through the skin and returns to the user, at which point it becomes dormant once more.",1d6+2,1 in 1d6,A small beetle-shaped device.,
2,91,Bone Garden,"The liquefied bone is injected directly into the bone marrow of the user. Within ten minutes, the user’s bones are fortified by the calcium injection, and his Might Pool is permanently increased by 2.",1d6+2,–,Long-needled injector filled with liquefied calcium.,
2,92,Calridian Proboscis,"Once grafted, the proboscis sniffs the air constantly, attempting to detect nanites. It provides the host with an asset on all tasks related to discovering (within long range) and identifying the numenera. The proboscis must be surgically and permanently grafted (a task with a difficulty equal to the artifact level). In skilled hands, the procedure takes about one hour. It works best if grafted in an area that is typically free of clothing or hair.",1d6+2,–,"Prehensile, biomechanical proboscis about 8 cm long that can be surgically grafted anywhere on a person’s body.",
2,93,Compactor,"When the tube is pointed at an inanimate, unsecured, solid object that is 25 to 76 cm across within immediate range, that object implodes, compacts into a ball no more than 10 cm across, and is drawn into the tube. Using another action, the user can project the ball up to long range with incredible force, inflicting 10 points of damage. Only one object can be compacted and loaded at a time.",1d6+2,1 in 1d10,A tube that is 61 cm long and 13 cm wide.,
2,94,Concussion Mace,"The baton functions as a club (a light weapon). However, if the wielder uses an action to activate it, the weapon hums with crackling energy for one round. During that round, the foe is stunned.",1d6+2,1 in 1d6,A metal baton that emits a soft blue light when gripped.,
2,95,Domination Rod,"This device saps the will of a creature touched by the rod. The affected creature makes all Intellect defense rolls with the difficulty increased by one step. Actions involving seeing through deceptions, resisting urges, and other similar tasks are likewise affected. Creatures are affected for 28 hours.",1d6+2,1 in 1d20,A short wooden haft with a crystalline tip.,
2,96,Environment Suit,"When worn, the suit protects the wearer from extreme temperatures and transforms her excretions into a foul-tasting but edible substance that can be retrieved from pouches in the legs. In addition, she suffers no ill effects from temperatures as cold as –50° C)or as hot as 100° C. In addition, she takes no damage from extreme cold or heat.",1d6+2,1 in 1d100,A full bodysuit made from synthetic material that’s covered with tubes and wires.,
2,97,Fabricator,"Causes raw materials placed in the compartment to transform into a finished item, which appears inside the frame. The process of fabrication takes one minute. The device can be used to create just about any sort of item provided that it has a supply of raw materials needed to make the item.",1d6+2,1 in 1d20,A bulky metal frame with glass plates.,
2,98,Flame Caster,"The device has two settings. The user chooses which setting to use when he activates it.
The first setting causes the nozzle to emit a short beam of white-hot flames. The flames are hot enough to cut through 15 cm of steel each minute the device is used. It can also be used as a melee weapon that inflicts damage equal to the artifact level. The device burns for ten minutes and then deactivates.
The second setting releases a ball of flame that travels a long distance and detonates at the end of this point or when it comes into contact with a solid object. When the ball explodes, it throws fire a short distance that inflicts 4 points of ambient damage.",1d6+2,1 in 1d6,A metal canister with a flexible hose emerging from the top and ending at a nozzle.,
2,99,Flicker Cloak,"Causes the user to flicker in and out of existence for ten minutes. At the end of each of her turns while wearing the cloak, she must roll a d6. On an odd number, nothing happens. On an even number, she disappears, ceasing to exist. At the start of her next turn, she reappears in the space she left (or an open space nearest to that space). She has no idea what happened during the time she ceased to exist.",1d6+2,1 in 1d10,A long cloak made from material woven with circuitry.,
2,100,Globe Projector,"When activated, the device shoots a glittering orb at a target within short range. Upon striking the target, the orb expands into an opaque white bubble that completely envelops the target and then floats away at a rate of 3 m per round for ten minutes. It then pops and drops the target to the ground. Until the effect ends, nothing can pass through the bubble.",1d6+2,1 in 1d6,A short device with a narrow synth tube that flares at the end.,
3,1,Graviton Emitter,"This long-range weapon fires a beam of gravitons that inflicts no damage. Whatever object or creature the beam hits emits a powerful gravity field that extends out to 30 feet (9 m) in all directions. Anything in the area “falls” toward the target unless it is fixed in place. A falling creature or object takes damage based on the distance it fell as normal when it strikes the target or another solid object in the way. Each creature or
object struck by a falling object takes half the damage sustained from the fall.
A creature flying through the area is unaffected provided that it continues flying. For attacks using projectile weapons in which the projectile passes through the affected area, the GM may increase the difficulty of the attack by one step.
The weird gravity lasts until the end of the next round. Until then, any creature in the affected area functions as if gravity pointed to the target. The target cannot move until this effect ends.",1d6+2,1 in 1d6,A handheld device with a dial and several buttons.,
3,2,Gut Worm,"A user must swallow the worm whole to activate it. Until the worm is expelled two days later, the user must consume twice as much food as normal each day.
Activating the device causes a fleshy tendril to burst from the user’s body, inflicting 1 point of damage that cannot be reduced in any way. The tendril is a level 2 creature under the user’s control. As a level 2 creature, it has a target number of 6, inflicts 2 points of damage, and has 6 health. The tendril cannot leave the user’s body. It can attack targets at a short distance from the user.",1d6+2,–,A 15 cm fleshy worm.,
3,3,Handy Hollow,"It takes one round to fold the black cloth across a flat surface such as on the ground, draped down a wall, and so on, to cover an area 2 m by 2 m. The cloth becomes a permeable passage through the surface reaching up to 3 m through solid material. The permeability lasts for one hour and creates no instability in the surrounding structure.",1d6+2,1 in 1d10,A square piece of black cloth.,
3,4,Hard Light Cutter,Activating this device causes a 1 m blade of solid light to extend from the baton’s tip and remain until deactivated (not an action). The blade inflicts damage equal to the artifact level.,1d6+2,1 in 1d100,A short metal baton with a crystal mounted at the top and buttons along one side.,
3,5,Hard Light Goggles,"A wearer can tap the side of the goggles and cause them to emit a pulse of solidified light that travels a long distance. The light inflicts 4 points of damage.
If the user gets a major effect on an attack roll using this device, the light inflicts 12 points of damage to the target, and it inflicts 4 points of damage to everything within a short distance of the target. After resolving this effect, roll for depletion again.",1d6+2,1 in 1d10,"A metal visor with a lens that, when looked through, tints everything red.",
3,6,Husk,"Activating the device causes it to become a level 1 creature. The creature follows the user wherever it goes, but otherwise does nothing. As a level 1 creature, it has a target number of 3 and has 3 health. If reduced to 0 health, the device is destroyed.
The first time a human or humanoid within short range of the creature dies, the creature absorbs the target’s personality, memories, and identity, and transforms to assume the target’s appearance in the prime of its life. In effect, the device becomes the creature. After nine years, the body dissolves into a slick of foul-smelling slime.",1d6+2,–,"A featureless, hairless humanoid creature.",
3,7,Hypno-Lenses,The wearer has an asset on any task that involves deceiving or persuading a creature that meets his gaze.,1d6+2,1 in 1d20,A pair of pink lenses held in a silver frame.,
3,8,Interceptor,"When small, fast-moving physical objects (arrows, thrown rocks, or other projectiles) coming toward the device reach a distance within immediate range, it fires bursts of energy that destroy the projectiles if they are of lower level than the interceptor. Although the interceptor can fire at multiple targets at once, depletion is rolled for each use.",1d6+2,1 in 1d20,Shoulder-mounted device.,
3,9,Light Discus,"The user must be wearing the device to activate it. After doing so, he can pull a disk made of glowing, solidified light out of the plate and throw it at a target within short range. The disk inflicts damage equal to half the artifact level. After making the attack, the disk may fly to attack up to two different targets, each within a short distance of the last, and inflicting the same damage as the first attack. After the disk makes its last attack, it flies back to the user’s hand and dissipates.",1d6+2,1 in 1d10,A metal plate worn on the back and held in place by two shoulder straps.,
3,10,Likeness Thief,"The device activates when placed onto the face of another creature, and once activated, it cannot be removed for one minute. During this time, the mass excretes digestive enzymes that inflict 10 points of corrosive damage, destroying the face of the creature it touches. Afterward, the mass hardens into a perfect copy of the face it destroyed. When a creature wears the mask, it becomes like real tissue and moves in a lifelike and realistic manner.
If the victim survives having its face stolen, it is blind, and its facial features are almost completely erased. Nothing remains except a nub of a nose and a slit for a mouth.",1d6+2,Automatic,A pink-hued gelatinous mass.,
3,11,Liminal Scanner,"This device scans an object or creature within short range and determines a variety of qualities (some quite esoteric) that cannot be observed with the naked eye. This grants the user an asset in dealing with the material in some desired way, chosen by the user. For example, a scanned wall might be easier to break through, a foe might be easier to attack, a device might be easier to understand, and so on. The asset is always specific to the single object or creature and to the single task specified, but it remains indefinitely.",1d6+2,1 in 1d20,"A large device that fits over the user’s hand and has a screen, an array of controls, and a long metal tendril that functions as a sensory apparatus.",
3,12,Living Wall,"This device functions as a level 3 creature that accompanies the user and follows his instructions. The only action the device can take is to move where the user directs it. As a level 3 creature, it has a target number of 9 and a health of 9. It has 5 Armor. The creature can move only across the ground. The device is destroyed if reduced to 0 health.",1d6+2,–,A 3 m cube of metal mounted on two wide tracks.,
3,13,Matter Separator,"This device causes the atomic bonds holding together a creature or object within an immediate distance to separate, creating a cloud of dust that spreads out a short distance in all directions and remains there for one round. Unless dispersed by wind (which utterly destroys the target), the target snaps back together after the effect ends. The user then rolls a d20. On a result of 11 or higher, a part of the target, as decided by the GM, is missing. The disappearance inflicts 4 points of damage that ignores Armor.",1d6+2,1 in 1d6,A small handheld device equipped with prongs at one end.,
3,14,Mechanical Arm,"The arm must be surgically and permanently attached (a task equal to the artifact level). The procedure takes about an hour in a skilled chiurgeon’s hands.
Once the arm is attached, the user has complete control over the limb and uses it naturally. The arm grants an asset on any task involving carrying or lifting.",1d6+2,–,Mechanical arm grafted to a stump on a person’s body.,
3,15,Mechanical Leg,"The leg must be surgically and permanently attached (a task equal to the artifact level). The procedure takes about an hour in a skilled chiurgeon’s hands.
Once the leg is attached, the user has complete control over the limb and uses it naturally. The leg grants an asset on any task that involves running.",1d6+2,–,Mechanical leg grafted to a stump on a person’s body.,
3,16,Mesmerizing Flame,"When the device is activated, two things happen. First, the user is protected by a shield of force that provides +1 to Armor, and +10 to Armor against flame. Second, the starshaped wheel begins spinning and spitting out flames. This is a heavy melee weapon that inflicts damage equal to the artifact level + 2, and all of the damage is fire and heat (ignores Armor). Once activated, the device remains active for one minute.
Moreover, when the device is activated, creatures within immediate range that can see the patterns in the spinning flames become mesmerized, losing their action in the next round. Creatures that come within immediate range once the device is active may also become mesmerized. No creature ever loses more than one action to the patterns.",1d6+2,1 in 1d10,Large handheld device with a starshaped wheel on the end of a long extension.,
3,17,Mother Parasite,"The user must position the parasite so it can bite his skin. The parasite sinks its teeth into his skin and remains there. The bite inflicts 1 point of damage. While in place, the parasite draws sustenance from its host, reducing his Might Pool by 1.
The parasite automatically activates whenever the user fails a Might or Speed defense roll. An orifice opens on the parasite and sprays corrosive slime at a target of the user’s choice within immediate range. The slime inflicts damage equal to the artifact level. The damage penetrates (ignores) up to 2 Armor.",1d6+2,1 in 1d10,"A flat nodule of tissue equipped with a round, toothed mouth on one side and a great roaming red eye on the other.",
3,18,Neural Disruptor,"Fires a green neural disruption beam at long range. Those struck suffer 2 points of Intellect damage (ignores Armor) and must make an Intellect defense roll or lose their next turn, stunned.",1d6+2,1 in 1d10,Small cylinder with a few studs.,
3,19,Oubliette,"When thrown (short range) at a human-sized creature, the box unfolds, expands, and snaps shut around a target. The box is a 7-foot (2 m) cube. There is enough air inside to allow the target to breathe (if it needs to). If the user activates the artifact while it contains a target, the box opens, releases its contents, and returns to its normal small size. If it deactivates while holding a target, the device must be destroyed in order to free its contents.",1d6+2,1 in 1d10,A small metal box.,
3,20,Printing Stylus,"The stylus can be used to draw threedimensional objects in midair. It takes a few rounds to draw a piece of basic equipment, such as rope, a backpack, spikes, a sword, or a shield. Upon completion of the drawing, the user makes an Intellect roll against a target number determined by the GM. The roll might be modified by any skill the GM agrees is pertinent. On a success, the item drawn becomes a real piece of equipment.",1d6+2,1 in 1d10,"A thick stylus that produces quickhardening “ink” of varying firmness and strength, as desired.",
3,21,Probability Engine,"When the user activates the item, the GM secretly rolls a d20 and notes the result. Anytime the user chooses, she can replace the result of one roll with the number that the GM rolled. The GM rolls a new secret number each time the device is activated.",1d6+2,1 in 1d100,A synth cube made of small white cubes and blue spheres.,
3,22,Probability Mantle,"If the wearer fails a defense roll or an attack roll, she can call on the probability mantle for a second chance (and another roll).",1d6+2,1 in 1d20,A multicolored cloak.,
3,23,Psycap,"The weave protects the wearer’s mind from mental attacks. While he wears it, he has an asset on Intellect defense rolls and cannot be contacted by telepathic means.",1d6+2,1 in 1d10,A weave of thin metallic wires worn on a shaved head.,
3,24,Pulse Staff,"Fires pulses of energy up to 61 m that explode in an immediate radius for 5 points of damage. However, whenever the device is used, if the player rolls a 1 or 2, the pulse explodes early at a point determined by the GM.",1d6+2,1 in 1d20,"A short, fat tube joined with a long, thin tube.",
3,25,Punishment Tick,"When the disk is touched to a creature’s skin, tiny metal barbs sprout from the perimeter and embed the disk in the flesh. Pressing the button on the handheld device inflicts 2 points of electrocution damage to the creature to which the disk is attached.",1d6+2,1 in 1d10,A round metal disk with an adhesive patch and a handheld device that controls it.,
3,26,Quickice Axe,"The end of this pole sprays out liquid that immediately freezes into an axe blade, turning the pole into a heavy weapon. Further, if the blade is touched to water or other liquid, it freezes an area approximately 2 m in radius around it. Using this secondary function also triggers a depletion roll. Once created, the axe head lasts for 28 hours.",1d6+2,1 in 1d100,A long metal pole.,
3,27,Slave Cap,"The cap shuts down all mental capacity by suffusing the wearer’s mind with psychic static. If the wearer’s level is equal to or lower than the artifact level, the wearer cannot take actions for one hour or until the cap is removed.
The user can use the handheld device to control the wearer as an action. The user may give the target general instructions, such as “Stand over there” or “Clean that room,” or a specific instruction to take a particular action, such as to move or attack. In the case of general instructions, the wearer carries them out to the best of its ability until it completes the task. Then it stands in place until given new instructions.
When the effect ends, the wearer does not remember being controlled or anything that it did while controlled.",1d6+2,1 in 1d6,A mesh skullcap that’s placed on another creature and a handheld device that allows the user to control the creature.,
3,28,Slugspitter (Heat),"With a quiet sound like a puff of air, this device fires a tiny slug of metal with a range of 200 feet (61 m). It inflicts damage equal to the artifact level. A slug that strikes and does damage then grows very hot, so on the next round, the target automatically suffers the same amount of damage again from the heat.
This device is a rapid-fire weapon, and thus can be used with the Spray or Arc Spray abilities that some glaives and jacks have, but each “round of ammo” used or each additional target selected requires an additional depletion roll.",1d6+2,1-3 in 1d100,A long device with a narrow metal tube.,
3,29,Slugspitter (Inorganic Phasing),"With a quiet sound like a puff of air, this device fires a tiny slug of metal with a range of 61 m. It inflicts damage equal to the artifact level, but since the slug phases through inorganic matter, it ignores Armor. In fact, the slug can even pass through walls unhindered, although targeting through a solid wall provides its own challenges. This weapon cannot harm inorganic targets (it passes through them).
This device is a rapidfire weapon, and thus can be used with the Spray or Arc Spray abilities that some glaives and jacks have, but each “round of ammo” used or each additional target selected requires an additional depletion roll.",1d6+2,1-4 in 1d100,A long device with a narrow metal tube.,
3,30,Slugspitter (Mass Increasing),"With a quiet sound like a puff of air, this device fires a tiny slug of metal with a range of 61 m. Since the slug increases its mass as it travels, it inflicts damage equal to the artifact level + 4. This device is a rapid-fire weapon, and thus can be used with the Spray or Arc Spray abilities that some glaives and jacks have, but each “round of ammo” used or each additional target selected requires an additional depletion roll.",1d6+2,1 in 1d20,A long device with a narrow metal tube.,
3,31,Smart Gloves,"When activated, these long gloves allow the wearer to safely handle objects that would otherwise inflict damage if held, such as burning items or items dripping with acid. He can also safely insert his arms up to the elbow into liquid that would otherwise inflict damage, such as lava.",1d6+2,1 in 1d100,Gauntlets.,
3,32,Snuffler,"This is a level 1 creature. It accompanies you and obeys your commands, but it’s not capable of attacking. As a level 1 creature, it has a target number of 3 and 3 health. If you wave something in front of the snuffler’s orifice, the creature inhales and memorizes the scent. It can then unerringly track the scent until it gets a good sniff of something else. If the creature is reduced to 0 health, it is instantly slain.",1d6+2,–,"A 1 m hairless, nearly mindless creature lacking any distinctive features beyond a gaping orifice in its head.",
3,33,Spirit Call,"While worn, the user activates the glove by touching the face of a dead creature. If the creature’s head is largely intact, the glove imbues the head with the semblance of life for 1d6 minutes. Although not alive, the head animates, and, if it still has a mouth, it can speak and answer questions put to it based on what it knew when it was alive. The head remains cooperative only until the last minute of the duration begins. At that point, the head realizes it is dead and spends the remaining time weeping and screaming for help.
This artifact can affect a particular corpse only one time.",1d6+2,1 in 1d10,A metal glove.,
3,34,Temporal Armor,"This heavy armor has a field around it that is triggered when the wearer wishes (requiring an action) and lasts for ten minutes. During this time, the field causes incoming attacks to potentially stop suddenly or slow down before they strike. This adds +2 to the wearer’s Armor.",1d6+2,1 in 1d6,Heavy armor of synth.,
3,35,Tentacle Harness (Bladed),Putting on the harness allows the wearer to control the tentacles as if they were extra limbs. The tentacles are fully prehensile and can be used to make attacks (each tentacle is a medium weapon) while the wearer’s normal arms are free. The wearer is still limited by the normal number of actions she can take in a round.,1d6+2,–,A heavy body harness equipped with two 5 m segmented metal tentacles that each end in a metal blade.,
3,36,Tentacle Harness (Clawed),Putting on the harness allows the wearer to control the tentacles as if they were extra limbs. The tentacles are fully prehensile and have the same functionality as if they were the wearer’s arms.,1d6+2,–,A heavy body harness equipped with two 5 m segmented metal tentacles that each end in a grasping claw.,
3,37,The Death by Angles,"This object can be used as a weapon that fires a beam of energy up to long range. The beam always bounces off of inorganic materials but not living tissue or organic materials. Thus, the weapon can be used only against living targets (or an organic nonliving target). However, the beam is harmless unless it ricochets off a surface first. Strangely, the beam never ricochets in the way that a character expects, so attack rolls with the weapon are two steps more difficult than normal. The beam inflicts 7 points of damage.
Particularly skilled users discover that if the beam reflects off of more than one surface, the damage increases. For every additional surface, the difficulty increases by one step, but the damage increases by 3 points (maximum 19 points).",1d6+2,1 in 1d20,Handheld device.,
3,38,Thought Storage,The user can store fifteen minutes’ worth of mental images (real or imagined) and words that can be replayed by anyone who activates the rod again.,1d6+2,1 in 1d20,Long organic rod with a number of crystal nodules.,
3,39,Thunder Vocalizer,"This device turns the user’s words into powerful weapons. When it is activated, the user speaks and the device throws the sound to a spot within short range. A thunderous boom erupts from that spot and inflicts 4 points of ambient damage to everything within an immediate distance.",1d6+2,1 in 1d20,A choker with a mechanical device that sits atop the user’s throat.,
3,40,Tongue Snake,"The creature must be surgically and permanently attached (a task equal to the artifact level), a procedure that takes about an hour in a skilled chiurgeon’s hands.
Once the serpent is attached to the user’s tongue, he can control it and attack with it. The serpent can attack targets within an immediate distance and inflicts poison damage equal to the artifact level (ignores Armor).",1d6+2,–,Snakelike creature grafted onto a user’s tongue.,
3,41,Transdimensional Blade,"When activated, this blade exists on multiple levels of reality at once. The wielder can strike foes (or objects) that are out of phase or resistant to attacks or damage due to their ultraterrestrial or transdimensional nature as if they were normal targets. Each activation allows for a single attack, but activation is not an action.",1d6+2,1 in 1d20,Broadsword.,
3,42,Trio,"When activated, this fires three rays at once up to long range, each inflicting damage equal to the artifact level. Unless the target is very large, the rays never strike the same target, but instead potentially strike three targets standing near each other. Roll separately for each attack.",1d6+2,1 in 1d10,A metal rod with a splay of three prongs on the end.,
3,43,Ultimate Grapnel,"The glowing sphere adheres to any surface or object until activated, which turns off the grip for one minute.",1d6+2,1 in 1d100,A length of 30 m of synth rope with a glowing sphere at one end.,
3,44,Urchalis Mask,"This mask has no function unless worn by someone with at least some mechanical components – automatons, characters who Fuse Flesh and Steel, characters with a mech eye or a mechanical arm, and so on. (Simply wearing a mechanical device is not enough – it
must be a permanent part of one’s body.) Such characters gain an asset when using their mechanical parts. This means that an allmechanical being like an automaton gains an asset on almost every task.",1d6+2,1 in 1d20,"A distinctive mask of thin, curved strips.",
3,45,Force Dome,"It takes two rounds to assemble and set up this device. Once set up, it takes an action to activate. When activated, this device projects a powerful force field dome with a diameter of short range. The field is immobile, impermeable, and impenetrable until it is brought down by a force (such as a device or creature) of a higher level. Otherwise, it lasts for 28 hours, during which time it has enough air to support six humans.",1d6+3,1 in 1d20,A 1.2 m collapsible tripod with a large glass globe at the top and a control box in the center.,
3,46,Hoop Staff,"Holographic images flicker to life in the hoop, warning of danger. The images are representative of the danger in some fashion. For example, approaching enemies look like threatening, amorphous creatures, and dangerous weather might look like lightning bolts coming from a cloud.
The GM decides when and how the staff warns of danger. For inexplicable reasons, sometimes it fails to deliver a warning.",1d6+3,1 in 1d100,"Long wooden staff with a 15 cm bronze hoop attached to the tip. The staff is of recent creation, but the hoop is not.",
3,47,Launcher,"This device launches anything about the size of a fist or smaller with great force with a range of 61 m. An inert object, such as a rock, inflicts the artifact’s level in damage. A detonation cypher (or similar explosive) can also be launched to activate on impact.",1d6+3,1 in 1d20,A metal tube with a set of winding synth tubes wrapped around it.,
3,48,Liquid Armor,"When activated, a watery liquid sprays out of the cylinders on the belt. An electric field shapes this smart fluid, causing it to form a protective shell around the wearer, not unlike full body armor. The fluid becomes immediately (but selectively) rigid when struck, providing +3 to Armor, but it offers none of the penalties associated with armor. It can be used over the top of light armor, adding to its protection, but medium or heavy armor disrupts the electric field’s shaping attempts. The liquid armor lasts for four hours or until deactivated.",1d6+3,1 in 1d20,An adamant silk belt with two metallic cylinders attached to it.,
3,49,Liquid Sword,"When activated, a watery liquid sprays out of the cylinder on the wristband. An electric field shapes this smart fluid, causing it to form into the shape of a broadsword. The fluid becomes immediately rigid and incredibly sharp, allowing it to be used as a normal sword that inflicts 1 additional point of damage. The sword lasts for four hours or until deactivated.",1d6+3,1 in 1d20,An adamant silk wristband with a metallic cylinder attached to it.,
3,50,Murder Globe,"It takes two rounds to assemble and set up this device. It then requires an action to activate. When activated, this device does nothing for five rounds. After that, if anything larger than a mouse comes within long range of it, the globe fires a powerful projectile at that target. The projectile inflicts damage equal to the artifact level. The device can attack up to ten times per round, but it never attacks the same target more than once per round. It remains on watch for 28 hours or until it has made one hundred attacks, whichever comes first.",1d6+3,Automatic,"A 0.9 m collapsible metal tripod with a large metal globe at the top. The globe has a number of holes in it, but it is not hollow.",
3,51,Beam Lance,"When mounted on a creature’s forearm, this weapon fires a beam of concentrated green light up to 61 m, inflicting 6 points of damage. Alternatively, the beam can be shortened to 2 m in length and used as a melee weapon for one minute, inflicting 6 points of damage.",1d6+3,1-3 in 1d100,Forearm bracer.,
3,52,Foldable Coach,"It takes two rounds to fold the coach out of its chest, whereupon it becomes a vehicle able to seat up to five humans. The vehicle has six hard synth wheels. When sealed inside, characters are not visible to external creatures, but they can see outside. Furthermore, characters inside gain +5 to Armor against all attacks made from outside the coach. Each time the coach is set up, it responds to audible voice commands from passengers and can travel for up to one hour per artifact level, with long movement on roads and short movement on rough or difficult terrain. It’s possible for up to four additional human-sized creatures to ride on top of the coach while it travels. When exhausted, the vehicle folds back into its compact form, ejecting any passengers still within, and can’t be used again for several hours.",1d6+3,1 in 1d20,A chest that folds out into a selfpowered coach.,
3,53,Hand of Annihilation,"When activated, this device creates a small orb of light that can be wielded as a medium weapon that annihilates the matter it touches, disintegrating it. This inflicts 10 points of damage, but it is very difficult and dangerous to use. The difficulty of attacks is increased by two steps, and a roll of 1 or 2 results in GM intrusion.
The orb can be dispelled with an action.",1d6+3,1 in 1d10,A metallic pincer that fits over the wrist.,
3,54,Point Clamp,"When this object touches another object, it forms a point-to-point connection that is almost unbreakable. The connection can be undone by activating a control on the side of the disk. The disk can be connected to multiple objects at once. For example, a character could attach it to a rope and then fling the disk up to the ceiling, where it would attach, allowing him to climb up.",1d6+3,–,Flat metal disk 10 cm across.,
3,55,Projectile Drone,"It takes two rounds to assemble and set up this device. Once set up, it takes an action to activate. When activated, this device follows whoever activated it around for one hour on its tripod legs (movement: short). If the user comes under attack, the drone fires one shot per round at attackers within long range, inflicting damage equal to the artifact level.",1d6+3,1 in 1d20,A 1 m collapsible tripod with a metallic projectile weapon mounted on top.,
3,56,Solid Light Bindings,"When activated, bonds of solid light entwine around a creature touched by the cylinder. It is possible to use this as a weapon in melee or at immediate range, but successfully capturing an opponent requires two attack rolls – one to touch him with the cylinder and the other to ensure that he is ensnared. The bonds last for up to 28 hours.",1d6+3,1 in 1d20,Small metal cylinder.,
3,57,Spine Armor,"When activated, a spine in the belt injects the wearer with a mutagen, causing her skin to grow a mass of protective spines over the course of a few minutes, providing +3 to Armor without any penalties associated with wearing armor. It can’t be worn with other normal armor, which would be pierced and torn by the spines. Whenever a character wearing spine armor makes a successful Speed defense roll against a melee attack, the attacker takes 3 points of damage from the piercing spines. The spine armor lasts for four hours, after which the spines become brittle and break off.",1d6+3,1 in 1d20,A synth belt with a toggle.,
3,58,Tentacle Helmet,"When activated, a 3 m tentacle comes out of the device. This tentacle resembles that of a very large living creature, but it’s also translucent, as it modulates between phase states. The tentacle can be used to pick up or manipulate small objects, push buttons, and so forth, but it has very little strength. It can’t pick up an object that weighs more than 10 pounds (5 kg) and could never be used to make an effective attack. However, its most remarkable feature is that because of its pandimensional nature, the tentacle can move through energy fields, including solid force fields, as if they were not there.
Once activated, the tentacle lasts for ten minutes.",1d6+3,1 in 1d10,"A smooth, lightweight synthsteel helmet with an octagon-shaped device on the back.",
3,59,Transformation Chamber,"The subject must stand within this device when it is activated. Doing so transforms the subject over ten painful minutes into another organic form of approximately the same size, chosen upon activation. The form can be (but does not have to be) extremely specific, but it must be well known to the operator of the device. For example, a human could be changed into a specific margr, if that margr is known. The transformation is permanent, although another activation can be used to change the subject back.",1d6+3,1 in 1d6,Complex device 3 m tall and 3 m wide with a central open cylindrical area.,
3,60,Wavesplitter,"This vehicle can hold up to four characters and be piloted by someone who makes Intellect rolls (level 2) each round. In combat, the pilot can use an action to move the vehicle a long distance each round. On extended trips, it moves up to 64 km per hour.
The vehicle provides a breathable atmosphere for everyone inside, allowing occupants to breathe normally for up to seven hours.
The vehicle also sports six lamps on the exterior, one on each corner and two in front. The lamps light everything within a long distance. The pilot can shut off the lights or turn them on (not an action).
Although the vehicle can travel over land, it excels underwater and can move through liquids at half its ground speed. The device can descend to depths of 8 km. If it goes any deeper, roll for depletion each round, with depletion in this case indicating that the walls buckle and spring leaks.",1d6+3,1-4 in 1d100,"A metal-and-glass vehicle that is 4 m long, 2 m wide, and 2 m tall. It hovers about 1 m above the ground. The vehicle has an access hatch on the side. Inside there is a seat and control panel for the pilot, plus three more seats for passengers. Numerous portholes allow occupants to look outside.",
3,61,Amber casement,"When activated, it solidifies the air in a 3 m cube of space, the center of which must be within short range of the device. The air is turned into an amberlike substance, and those trapped in it will likely suffocate or starve.",1d6+4,1-4 in 1d6,"Series of short, rounded tubes and hoses about 30 cm long.",
3,62,Battle armor,"This armor is far hardier yet somewhat lighter than Ninth World smithing techniques could ever manage with steel. It is heavy armor but grants an additional +2 Armor (+3 Armor if the artifact is level 9 or higher) in addition to the 3 Armor that heavy armor usually provides. Further, it is entirely sealed and has its own eternally renewed internal atmosphere, which completely protects against poison gases and allows the wearer to operate in an airless environment. The suit’s Armor rating also applies to damage that often isn’t reduced by typical armor, such as heat or cold damage (but not Intellect damage).",1d6+4,-,"Full suit of synth and steel armor, covering the entirety of the wearer’s body.",
3,63,Battlesuit,"This armor is far hardier yet somewhat lighter than Ninth World smithing techniques could ever manage with steel. It is heavy armor but grants an additional +3 to Armor in addition to the 3 Armor that heavy armor usually offers. Further, it is entirely sealed and has its own eternally renewed internal atmosphere, which completely protects against poison gases and allows the wearer to operate in an airless environment. The suit’s Armor rating also applies to damage that often isn’t reduced by typical armor, such as heat or cold damage (but not Intellect damage).
In addition, the wearer gains +1 to their Might Edge and +5 to their Might Pool (+7 to their Might Pool if the artifact is level 9 or higher).",1d6+4,-,"Full suit of synth and steel armor, covering the entirety of the wearer’s body.",
3,64,Cellular disruptor,"This device emits a faint short-range beam that affects only organic creatures and materials. Living targets hit by the beam move one step down the damage track. Nonliving organic targets are likely destroyed.
This device is a rapid-fire weapon and thus can be used with the Spray or Arc Spray abilities that some characters have, but each “round of ammo” used or each additional target selected requires an additional depletion roll.",1d6+4,1 in 1d10,Small handheld device with a few simple controls.,
